participant.code,participant.label,participant.label_num,participant.payoff,participant.dutch_payoff,participant.honolulu_payoff,participant.time_started_utc,participant.date_num,session.code,session.treatment_num,session.config.real_world_currency_per_point,session.config.skip_intro_dutch,session.config.discount_a,session.config.start_round_dutch,session.config.name,session.config.num_test_rounds,session.config.start_price,session.config.price_tick,session.config.start_round_honolulu,session.config.skip_intro_honolulu,session.config.num_formal_rounds,session.config.discount_b,session.config.participation_fee,subsession.is_dutch_first,subsession.round_number,group.id_in_subsession,player.id_in_group,subsession.price_start,player.item_value,player.is_dutch_winner,group.have_dutch_winner,group.dutch_time_elapsed,group.dutch_final_price,player.contest_status,group.have_contest_winner,player.is_english_winner,player.english_dropout_elpased,group.english_time_elapsed,group.english_final_price,player.is_final_winner,group.final_price,player.payoff,group.auctioneer_utility,predict.player.optimal_dutch_bid,predict.player.is_dutch_winner,predict.player.contest_status,predict.player.english_dropout_elapsed,predict.player.is_english_winner,predict.player.is_final_winner,predict.player.payoff,predict.group.dutch_time_elapsed,predict.group.dutch_final_price,predict.group.english_time_elapsed,predict.group.english_final_price,predict.group.final_price,predict.group.auctioneer_utility
xpve5jjr,p04,4,82,6,76,2022/9/14 4:08:34,2022091404,ogo32l47,521,1.3,0,1,0,05_D2H1,2,32,1,0,0,18,0.019,10,0,1,1,5,32,48,0,1,7.463690281,25,1,4,1,19.25441504,19.25441504,43,1,43,0,21.17130795,32,1,1,13,1,1,2.259,0,32,13,45,45,33.885
xpve5jjr,p04,4,82,6,76,2022/9/14 4:08:34,2022091404,ogo32l47,521,1.3,0,1,0,05_D2H1,2,32,1,0,0,18,0.019,10,0,2,1,1,32,26,0,1,2.764574289,30,2,1,0,,0,30,0,30,0,28.42419266,17.2611653,0,0,,0,0,0,4.501148712,27.49885129,1.501148712,29,29,25.69273412
xpve5jjr,p04,4,82,6,76,2022/9/14 4:08:34,2022091404,ogo32l47,521,1.3,0,1,0,05_D2H1,2,32,1,0,0,18,0.019,10,0,3,1,4,32,49,1,1,2.49562788,30,1,1,0,,0,30,1,30,18,28.57749211,32,1,1,,1,1,17,0,32,0,32,32,32
xpve5jjr,p04,4,82,6,76,2022/9/14 4:08:34,2022091404,ogo32l47,521,1.3,0,1,0,05_D2H1,2,32,1,0,0,18,0.019,10,0,4,3,5,32,49,1,1,3.125146151,29,1,2,1,16.04639578,16.04639578,44,1,44,3,27.97259095,32,1,1,,1,1,17,0,32,0,32,32,32
xpve5jjr,p04,4,82,6,76,2022/9/14 4:08:34,2022091404,ogo32l47,521,1.3,0,1,0,05_D2H1,2,32,1,0,0,18,0.019,10,0,5,3,2,32,10,0,1,18.81003451,14,2,2,0,,5.775108337,19,0,19,0,10.12476343,5.90083036,0,0,,0,0,0,12.55679901,19.44320099,2.556799006,22,22,15.68251603
xpve5jjr,p04,4,82,6,76,2022/9/14 4:08:34,2022091404,ogo32l47,521,1.3,0,1,0,05_D2H1,2,32,1,0,0,18,0.019,10,0,6,2,3,32,49,1,1,2.686324596,30,1,3,1,7.127608061,7.127608061,36,1,36,11,29.28727006,32,1,1,4,1,1,12.012,0,32,4,36,36,33.264
xpve5jjr,p04,4,82,6,76,2022/9/14 4:08:34,2022091404,ogo32l47,521,1.3,0,1,0,05_D2H1,2,32,1,0,0,18,0.019,10,0,7,3,5,32,48,1,1,4.05031538,28,1,4,1,11.96959352,11.96959352,39,1,39,6,27.12924751,32,1,1,8,1,1,6.784,0,32,8,40,40,33.92
xpve5jjr,p04,4,82,6,76,2022/9/14 4:08:34,2022091404,ogo32l47,521,1.3,0,1,0,05_D2H1,2,32,1,0,0,18,0.019,10,0,8,2,1,32,39,0,1,2.676981211,30,1,4,0,7.752237558,16.82222176,46,0,46,0,28.9576966,26.76391089,0,1,7,0,0,0,0,32,14,46,46,33.764
xpve5jjr,p04,4,82,6,76,2022/9/14 4:08:34,2022091404,ogo32l47,521,1.3,0,1,0,05_D2H1,2,32,1,0,0,18,0.019,10,0,9,1,4,32,41,1,1,3.636042356,29,1,2,1,5.842694283,5.842694283,34,1,34,6,27.87673613,28.2341898,0,1,9.083896209,0,0,0,0.083896209,31.91610379,9.083896209,41,41,33.85828971
xpve5jjr,p04,4,82,6,76,2022/9/14 4:08:34,2022091404,ogo32l47,521,1.3,0,1,0,05_D2H1,2,32,1,0,0,18,0.019,10,0,10,2,5,32,46,0,1,3.186980724,29,1,3,1,12.19924235,12.19924235,41,1,41,4,29.01413223,31.91610379,1,1,10.08389621,1,1,3.227247776,0.083896209,31.91610379,10.08389621,42,42,33.88610165
